baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,gene_symbol,chr,DE_comparison
131.07,1.14,0.4,2.87,0.00413,0.0397,ENSG00000204335,SP5,2,Bmet_Bpri
364.97,-1.31,0.32,-4.13,4e-05,0.00094,ENSG00000204604,ZNF468,19,Bmet_Bpri
1880.01,1.27,0.22,5.84,0,0,ENSG00000204839,MROH6,8,Bmet_Bpri
11839.64,1.43,0.2,7.16,0,0,ENSG00000205002,AARD,8,Bmet_Bpri
18.76,3.32,1.04,3.19,0.00143,0.01792,ENSG00000205362,MT1A,16,Bmet_Bpri
189.56,2.26,0.5,4.57,0,0.00017,ENSG00000205363,C15orf59,15,Bmet_Bpri
129.38,2.41,0.49,4.89,0,5e-05,ENSG00000205364,MT1M,16,Bmet_Bpri
76.57,-2.44,0.53,-4.59,0,0.00016,ENSG00000205403,CFI,4,Bmet_Bpri
2684.66,-3.66,1.46,-2.5,0.01239,0.08433,ENSG00000205426,KRT81,12,Bmet_Bpri
414.43,1.12,0.3,3.78,0.00016,0.00309,ENSG00000205609,EIF3CL,16,Bmet_Bpri
197.88,-2.22,0.39,-5.66,0,0,ENSG00000206432,TMEM200C,18,Bmet_Bpri
111.15,1.68,0.48,3.5,0.00046,0.00744,ENSG00000206579,XKR4,8,Bmet_Bpri
54.72,1.24,0.63,1.96,0.04966,0.20696,ENSG00000212710,CTAGE1,18,Bmet_Bpri
122.96,-1.04,0.49,-2.12,0.03437,0.16516,ENSG00000213047,DENND1B,1,Bmet_Bpri
1051.99,1.07,0.2,5.26,0,1e-05,ENSG00000213347,MXD3,5,Bmet_Bpri
12042.28,-1.08,0.22,-4.97,0,3e-05,ENSG00000213741,RPS29,14,Bmet_Bpri
554.34,1.09,0.37,2.93,0.00334,0.03419,ENSG00000213937,CLDN9,16,Bmet_Bpri
114.38,1.13,0.55,2.06,0.03967,0.18045,ENSG00000213999,MEF2B,19,Bmet_Bpri
834.39,1.12,0.22,5.2,0,1e-05,ENSG00000214967,NPIPA7,16,Bmet_Bpri
211.58,1.42,0.39,3.69,0.00023,0.00413,ENSG00000215018,COL28A1,7,Bmet_Bpri
