baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,DE_comparison,gene_symbol,chr
233.95,1.4,0.37,3.81,0.00014,0.00101,ENSG00000103269,Bmet_Apri,RHBDL1,16
5.68,1.15,1.04,1.1,0.27002,0.42033,ENSG00000103310,Bmet_Apri,ZP2,16
3469.2,-1.02,0.21,-4.74,0,3e-05,ENSG00000103353,Bmet_Apri,UBFD1,16
279.75,2.41,0.34,7.18,0,0,ENSG00000103355,Bmet_Apri,PRSS33,16
1.21,-2.32,2.47,-0.94,0.34721,,ENSG00000103375,Bmet_Apri,AQP8,16
1.29,2.29,1.96,1.16,0.24451,0.39113,ENSG00000103449,Bmet_Apri,SALL1,16
3174.77,1.27,0.2,6.4,0,0,ENSG00000103490,Bmet_Apri,PYCARD,16
2388.38,1.01,3.17,0.32,0.74939,0.83463,ENSG00000103512,Bmet_Apri,NOMO1,16
23.85,-8.12,2.35,-3.46,0.00055,0.00313,ENSG00000103522,Bmet_Apri,IL21R,16
59.99,-1.16,0.43,-2.72,0.00655,0.0236,ENSG00000103599,Bmet_Apri,IQCH,15
