SA919X7XB05402,SA919X7XB05378,SA919X7XB05604,ens_gene_id
0,0,0,ENSG00000167098
1,0,0,ENSG00000172365
1647,1189,1076,ENSG00000197496
2,1,1,ENSG00000164112
0,0,0,ENSG00000176495
6105,4810,6628,ENSG00000175215
5,3,1,ENSG00000142748
13,8,0,ENSG00000215405
1,2,0,ENSG00000171360
1968,1512,1797,ENSG00000068078
2,3,1,ENSG00000137251
204,119,174,ENSG00000176472
215,140,424,ENSG00000166033
2949,3213,3268,ENSG00000181929
142,131,112,ENSG00000130711
7889,6761,6983,ENSG00000059573
3180,2737,3655,ENSG00000170265
20,11,8,ENSG00000244482
3854,2827,2541,ENSG00000115112
5,1,31,ENSG00000007314
11,7,6,ENSG00000101074
0,1,0,ENSG00000100448
3795,2988,3335,ENSG00000132274
184,70,106,ENSG00000203815
0,0,0,ENSG00000225523
1691,2106,2307,ENSG00000122687
6645,8525,9403,ENSG00000130520
14932,14033,17388,ENSG00000168159
69,20,62,ENSG00000176884
151,72,79,ENSG00000215790
1035,975,1225,ENSG00000168282
503,429,379,ENSG00000120055
2293,3030,2675,ENSG00000169288
9606,7121,10135,ENSG00000197879
205,149,221,ENSG00000019485
1797,1597,1927,ENSG00000156521
47100,47705,53514,ENSG00000134531
37,39,73,ENSG00000170961
12,8,11,ENSG00000066735
24,9,10,ENSG00000064218
4386,5106,6165,ENSG00000198356
84,32,45,ENSG00000091536
6918,9922,7893,ENSG00000173660
0,0,0,ENSG00000118271
27713,32340,38282,ENSG00000052344
1419,1290,1258,ENSG00000092098
11,23,17,ENSG00000271092
625,464,690,ENSG00000109944
3,1,3,ENSG00000184524
1,0,1,ENSG00000174226
6311,8906,6888,ENSG00000106028
2717,4106,2930,ENSG00000137876
7755,5857,7453,ENSG00000094916
2422,1913,2412,ENSG00000183723
167,103,176,ENSG00000147251
5108,3324,4334,ENSG00000131149
2297,2504,3310,ENSG00000140374
0,0,0,ENSG00000273395
2916,3575,4065,ENSG00000157045
2370,2115,2389,ENSG00000166272
127,86,73,ENSG00000113211
260,159,229,ENSG00000116985
905,715,644,ENSG00000106100
35,31,32,ENSG00000187486
20,15,13,ENSG00000183346
7,2,4,ENSG00000257987
4499,4942,5879,ENSG00000101161
5677,7269,5268,ENSG00000166295
1104,729,933,ENSG00000075539
35,19,29,ENSG00000175911
3922,2841,3830,ENSG00000120451
5962,6101,7853,ENSG00000079459
80,92,58,ENSG00000214102
4096,3528,3339,ENSG00000137955
140,95,89,ENSG00000183785
1806,1812,1810,ENSG00000106733
393,403,579,ENSG00000078487
3,3,1,ENSG00000142484
0,0,0,ENSG00000211933
53,8,12,ENSG00000204653
7,1,5,ENSG00000183038
693,445,472,ENSG00000197013
1247,1836,2050,ENSG00000147155
0,0,0,ENSG00000211959
475,373,416,ENSG00000101265
0,0,0,ENSG00000187969
2626,1714,2015,ENSG00000105520
13844,12458,15076,ENSG00000137207
1962,1434,1689,ENSG00000178295
3016,2336,2456,ENSG00000130749
2892,3387,4087,ENSG00000166681
0,0,0,ENSG00000172551
11,10,8,ENSG00000170074
4187,3970,3823,ENSG00000107798
2,0,1,ENSG00000006116
1288,787,748,ENSG00000171448
147,167,307,ENSG00000166482
2702,2275,3089,ENSG00000159063
3587,3032,3470,ENSG00000177732
17,17,13,ENSG00000166664
3019,3294,3433,ENSG00000135047
416,455,564,ENSG00000100360
4,3,2,ENSG00000213714
73,40,41,ENSG00000214513
0,0,0,ENSG00000186599
42,30,24,ENSG00000053108
1,0,1,ENSG00000105374
406,206,217,ENSG00000129204
106,73,124,ENSG00000177721
3407,2349,3237,ENSG00000119574
