chr,cell_id,mean_reads,mean_copy,clone_id
10,SA919X4XB40509-A98217A-R16-C20,136.08,3.02,A
10,SA919X4XB40509-A98217A-R16-C24,166.57,2.95,A
10,SA919X4XB40509-A98217A-R16-C25,146.94,2.98,A
10,SA919X4XB40509-A98217A-R16-C26,140.03,3,A
10,SA919X4XB40509-A98217A-R16-C27,150.57,3,A
10,SA919X4XB40509-A98217A-R16-C28,101.22,2.78,A
10,SA919X4XB40509-A98217A-R16-C29,91.9,2.75,A
10,SA919X4XB40509-A98217A-R16-C33,102.44,3.01,A
10,SA919X4XB40509-A98217A-R16-C38,116.56,2.91,A
10,SA919X4XB40509-A98217A-R16-C39,148.94,3.1,A
10,SA919X4XB40509-A98217A-R16-C41,145.25,3.03,A
10,SA919X4XB40509-A98217A-R16-C44,134.46,3.13,A
10,SA919X4XB40509-A98217A-R16-C46,148.4,2.94,A
10,SA919X4XB40509-A98217A-R16-C47,145.13,3.01,A
10,SA919X4XB40509-A98217A-R16-C48,130.76,3.03,A
10,SA919X4XB40509-A98217A-R16-C49,129.06,2.99,A
10,SA919X4XB40509-A98217A-R16-C50,119.11,2.97,A
10,SA919X4XB40509-A98217A-R16-C51,138.24,3.03,A
10,SA919X4XB40509-A98217A-R16-C52,127.81,2.96,A
10,SA919X4XB40509-A98217A-R16-C54,124.65,2.96,A
10,SA919X4XB40509-A98217A-R16-C55,177.35,3.02,A
10,SA919X4XB40509-A98217A-R16-C56,146.38,3.01,A
10,SA919X4XB40509-A98217A-R16-C58,132.95,3.07,A
10,SA919X4XB40509-A98217A-R16-C63,162.33,3.05,A
10,SA919X4XB40509-A98217A-R16-C64,154.06,3.29,A
10,SA919X4XB40509-A98217A-R16-C66,131.46,2.86,A
10,SA919X4XB40509-A98217A-R16-C68,138.56,2.91,A
10,SA919X4XB40509-A98217A-R17-C12,130.73,2.97,A
10,SA919X4XB40509-A98217A-R17-C13,159.89,2.92,A
10,SA919X4XB40509-A98217A-R17-C15,142.13,2.98,A
10,SA919X4XB40509-A98217A-R17-C19,132.33,2.9,A
10,SA919X4XB40509-A98217A-R17-C20,141.71,3.02,A
10,SA919X4XB40509-A98217A-R17-C23,151.03,3.06,A
10,SA919X4XB40509-A98217A-R17-C25,150.1,2.85,A
10,SA919X4XB40509-A98217A-R17-C27,129.67,2.97,A
10,SA919X4XB40509-A98217A-R17-C29,126.05,3.06,A
10,SA919X4XB40509-A98217A-R17-C35,201.62,3.08,A
10,SA919X4XB40509-A98217A-R17-C38,138.3,3.24,A
10,SA919X4XB40509-A98217A-R17-C39,149.73,3.03,A
