baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,symbol,chr,copy_number_state_cloneA,copy_number_state_cloneB,copy_number_state_cloneC,gene_type,description
5117.98,-1.14,0.26,-4.41,1.01085289960349e-05,0.000179681655563358,ENSG00000035403,VCL,10,2,2,2,trans_gene,B Primary vs. A Primary
54.47,-1.53,0.67,-2.27,0.0230511613354515,0.0687093477197728,ENSG00000036448,MYOM2,8,2,2,2,trans_gene,B Primary vs. A Primary
2333.7,-1.19,0.18,-6.51,7.71006920296117e-11,9.52125914379714e-09,ENSG00000037042,TUBG2,17,2,2,2,trans_gene,B Primary vs. A Primary
39.92,-1.55,0.67,-2.31,0.0210946601321689,0.0644747341165161,ENSG00000040731,CDH10,5,3,3,4,trans_gene,B Primary vs. A Primary
830.95,-1.31,0.37,-3.49,0.000479782022699594,0.00369495148553877,ENSG00000041982,TNC,9,3,3,3,trans_gene,B Primary vs. A Primary
220.55,-1.8,0.42,-4.25,2.13326881355272e-05,0.000322926433948335,ENSG00000042980,ADAM28,8,2,2,2,trans_gene,B Primary vs. A Primary
607.99,-1.13,0.24,-4.69,2.7061947525488e-06,6.27641016909095e-05,ENSG00000044446,PHKA2,X,2,2,2,trans_gene,B Primary vs. A Primary
662.56,-1.42,0.35,-4.05,5.16366984060602e-05,0.00065255066441698,ENSG00000048471,SNX29,16,3,3,3,trans_gene,B Primary vs. A Primary
43.45,-1.38,0.68,-2.05,0.0407760792475062,0.105213644363342,ENSG00000049089,COL9A2,1,2,2,2,trans_gene,B Primary vs. A Primary
71.97,-1.82,0.52,-3.5,0.000470330012420149,0.00363209320617161,ENSG00000050165,DKK3,11,2,2,2,trans_gene,B Primary vs. A Primary
1066.2,-1.27,0.25,-5.11,3.26344092590399e-07,1.17937637127117e-05,ENSG00000050555,LAMC3,9,3,3,3,trans_gene,B Primary vs. A Primary
80.49,-1.75,0.69,-2.55,0.0108870874378963,0.039263329699975,ENSG00000059804,SLC2A3,12,3,3,3,trans_gene,B Primary vs. A Primary
2763.22,-1.21,0.3,-4.08,4.54545831428461e-05,0.000590322529045191,ENSG00000061938,TNK2,3,2,2,2,trans_gene,B Primary vs. A Primary
247.45,-1.4,0.46,-3.05,0.0022747146106089,0.0122634533723587,ENSG00000063127,SLC6A16,19,2,2,2,trans_gene,B Primary vs. A Primary
5236.98,-1.01,0.21,-4.86,1.17469323625685e-06,3.27186516822123e-05,ENSG00000064042,LIMCH1,4,2,2,2,trans_gene,B Primary vs. A Primary
91.42,1.49,0.5,2.95,0.00315099880117441,0.0155539134372137,ENSG00000064489,BORCS8-MEF2B,19,,,,trans_gene,B Primary vs. A Primary
7210.83,-1.07,0.2,-5.4,6.67362028243455e-08,3.14218148281316e-06,ENSG00000065000,AP3D1,19,2,2,2,trans_gene,B Primary vs. A Primary
539.2,-1.02,0.25,-4.15,3.37471550933523e-05,0.000470388563766548,ENSG00000065802,ASB1,2,2,2,2,trans_gene,B Primary vs. A Primary
915.01,-1.13,0.26,-4.41,1.05262400328629e-05,0.000183778459366274,ENSG00000066468,FGFR2,10,2,2,2,trans_gene,B Primary vs. A Primary
877.86,-1.07,0.25,-4.3,1.74408538974154e-05,0.000274952229751192,ENSG00000066827,ZFAT,8,7,7,7,trans_gene,B Primary vs. A Primary
238.55,-3.01,0.43,-7.01,2.38730582758009e-12,4.54168803252332e-10,ENSG00000067606,PRKCZ,1,1,1,1,trans_gene,B Primary vs. A Primary
127.1,-1.44,0.4,-3.6,0.000321126466046351,0.00268616660071333,ENSG00000067715,SYT1,12,2,2,2,trans_gene,B Primary vs. A Primary
541.86,-1.21,0.37,-3.23,0.00125590882481456,0.00788964053357401,ENSG00000069020,MAST4,5,1,1,1,trans_gene,B Primary vs. A Primary
225.36,-1.24,0.34,-3.68,0.000231439303174081,0.00208191853679534,ENSG00000070182,SPTB,14,1,1,1,trans_gene,B Primary vs. A Primary
10.48,-3.52,1.39,-2.53,0.0115112208223117,,ENSG00000070526,ST6GALNAC1,17,2,2,2,trans_gene,B Primary vs. A Primary
13027.52,-1.04,0.18,-5.78,7.47304497230588e-09,4.93922662535785e-07,ENSG00000070614,NDST1,5,2,2,2,trans_gene,B Primary vs. A Primary
243.34,-1.06,0.31,-3.38,0.000720184368299536,0.00508039381388535,ENSG00000070759,TESK2,1,2,2,2,trans_gene,B Primary vs. A Primary
310.14,-1.52,0.35,-4.35,1.37869320646419e-05,0.000229850231064063,ENSG00000071242,RPS6KA2,6,2,2,2,trans_gene,B Primary vs. A Primary
4063.76,-1,0.17,-5.74,9.46835970298254e-09,6.05888944993582e-07,ENSG00000071655,MBD3,19,2,2,2,trans_gene,B Primary vs. A Primary
655.02,-1.06,0.3,-3.56,0.000373803675646926,0.00305980344522537,ENSG00000072121,ZFYVE26,14,1,1,1,trans_gene,B Primary vs. A Primary
7.13,5.65,2.25,2.52,0.0118710990065296,,ENSG00000072133,RPS6KA6,X,2,2,2,trans_gene,B Primary vs. A Primary
979.88,-1.52,0.25,-6.07,1.29772116986259e-09,1.10723143208033e-07,ENSG00000072786,STK10,5,2,2,2,trans_gene,B Primary vs. A Primary
93.04,-1.29,0.46,-2.81,0.00502824903311308,0.0221835443084193,ENSG00000073910,FRY,13,2,2,2,trans_gene,B Primary vs. A Primary
3428.96,-1.25,0.23,-5.49,3.93250216414761e-08,2.08126937845376e-06,ENSG00000074370,ATP2A3,17,2,2,2,trans_gene,B Primary vs. A Primary
281.25,-1.01,0.3,-3.34,0.000844423459271616,0.0057748435144611,ENSG00000074590,NUAK1,12,2,2,2,trans_gene,B Primary vs. A Primary
2069.86,-1.9,0.24,-7.82,5.37979471696547e-15,2.10379861181777e-12,ENSG00000074964,ARHGEF10L,1,1,1,1,trans_gene,B Primary vs. A Primary
29.36,-2.3,0.8,-2.89,0.00390400752851105,0.0183324276138688,ENSG00000075213,SEMA3A,7,2,3,3,cis_gene,B Primary vs. A Primary
2355.84,1.39,0.21,6.57,4.88876626318427e-11,6.31413316083561e-09,ENSG00000075223,SEMA3C,7,2,3,3,cis_gene,B Primary vs. A Primary
96.87,-1.44,0.57,-2.54,0.0110201911604377,0.039617530938877,ENSG00000075886,TUBA3D,2,2,2,2,trans_gene,B Primary vs. A Primary
4278.21,-1.1,0.19,-5.65,1.59331542938979e-08,9.42466160291991e-07,ENSG00000076513,ANKRD13A,12,2,2,2,trans_gene,B Primary vs. A Primary
202.23,-1.63,0.36,-4.56,5.21213273129353e-06,0.000106188718655789,ENSG00000076555,ACACB,12,2,2,2,trans_gene,B Primary vs. A Primary
92.84,1.34,0.56,2.4,0.0162404200474948,0.0532446747621405,ENSG00000076641,PAG1,8,2,2,2,trans_gene,B Primary vs. A Primary
501.81,-1.28,0.24,-5.25,1.54349858076437e-07,6.40984454867278e-06,ENSG00000076706,MCAM,11,2,2,2,trans_gene,B Primary vs. A Primary
906.22,-1.23,0.27,-4.53,5.97990987803367e-06,0.00011840389769755,ENSG00000077044,DGKD,2,2,2,2,trans_gene,B Primary vs. A Primary
2015.72,-1.2,0.19,-6.32,2.60688324220298e-10,2.93597618269869e-08,ENSG00000077238,IL4R,16,3,3,3,trans_gene,B Primary vs. A Primary
110.44,-1.13,0.43,-2.63,0.00862354741081036,0.0330886618831802,ENSG00000077264,PAK3,X,2,2,2,trans_gene,B Primary vs. A Primary
1089.89,-2.13,0.29,-7.27,3.71473669152119e-13,9.17474791986583e-11,ENSG00000077274,CAPN6,X,2,2,2,trans_gene,B Primary vs. A Primary
1735.57,-1.06,0.22,-4.79,1.68092691962867e-06,4.32683359540459e-05,ENSG00000078061,ARAF,X,2,2,2,trans_gene,B Primary vs. A Primary
